Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour,Dernière modification,Wordpress ID,Wordpress status
La donnée au coeur de la transformation numérique des territoires,plateforme d'autoformation (MOOC) aux enjeux de la donéne,"Transparence,Conformité,Transformation ,Innovation,Pilotage Politiques Publiques","Qualité,Partage,Réutilisation,Protection",Comprendre,https://www.opendatafrance.net/2021/11/01/formation-data/,Services / Formation en Ligne,OpenDataFrance,OpenDataLocale,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3210,publish
Clauses à insérer dans les marchés publics,,"Transparence,Innovation,Autonomie,Transformation ,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/clause-a-inserer-dans-les-marches-publics,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(mb),23/5/2022 11:22am,3218,publish
Exemple de délibération en vue du lancement d’un projet open data dans une commune,Le lancement d’un projet open data est un acte politique important qu’il est nécessaire d’officialiser par une décision en conseil municipal ou communautaire. Voici un exemple de texte de délibération.,"Transparence,Innovation,Transformation ,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/exemple-de-deliberation-en-vue-du-lancement-dun-projet-open-data-dans-une-commune,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3219,publish
Choisir un portail open data,,"Mutualisation,Transformation ","Partage,Architecture,Organisation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/choisir-un-portail-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3223,publish
Documenter les données avant  publication,,"Confiance,Gouvernance des données","Partage,Qualité",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/documenter-les-donnees-avant-publication,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3225,publish
Comment publier un jeu de données sur  data.gouv.fr,,Mutualisation,"Partage,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-publier-un-jeu-de-donnees-sur-data.gouv.fr,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3226,publish
Guide pédagogique RGPD,,"Confiance,Conformité",Protection,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/guide-pedagogique-rgpd,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(ap),23/5/2022 11:22am,3228,publish
Autres formats d’animation de l’ouverture des données,,Transformation ,"Réutilisation,Animation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/autres-formats-danimation-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3229,publish
Les réutilisations de données,,"Transparence,Confiance,Transformation ,Innovation,Pilotage Politiques Publiques",Réutilisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-reutilisations-de-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(vk),23/5/2022 11:22am,3207,publish
Les données prioritaires,,"Mutualisation,Transformation ,Innovation","Partage,Qualité",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/les-donnees-prioritaires,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - faire le lien avec SCDL,(vk),23/5/2022 11:22am,3206,publish
